BAB73468	all1769
BAB73469	all1770
BAB73470	all1771
BAB73471	all1772
BAB73472	asl1773
BAB73473	all1774
BAB73474	asr1775
BAB73475	all1776
BAB73476	asl1777
BAB73477	asl1778
BAB73478	alr1779
BAB73479	all1780
BAB73480	all1781
BAB73481	all1782
BAB73482	all1783
BAB73483	all1784
BAB73484	alr1785
BAB73485	alr1786
BAB73486	all1787
BAB73487	alr1788
BAB73488	asl1789
BAB73489	alr1790
BAB73490	alr1791
BAB73491	alr1792
BAB73492	alr1793
BAB73493	alr1794
BAB73494	asl1795
BAB73495	alr1796
BAB73496	all1797
BAB73497	alr1798
BAB73498	alr1799
BAB73499	all1800
BAB73500	asr1801
BAB73501	all1802
BAB73502	alr1803
BAB73503	all1804
BAB73504	alr1805
BAB73505	all1806
BAB73506	all1807
BAB73507	alr1808
BAB73508	alr1809
BAB73509	alr1810
BAB73510	all1811
BAB73511	all1812
BAB73512	all1813
BAB73513	all1814
BAB73514	alr1815
BAB73515	all1816
BAB73516	asr1817
BAB73517	asr1818
BAB73518	alr1819
BAB73519	all1820
BAB73520	alr1821
BAB73521	alr1822
BAB73522	all1823
BAB73523	asl1824
BAB73524	asl1825
BAB73525	all1826
BAB73526	alr1827
BAB73527	asr1828
BAB73528	all1829
BAB73529	all1830
BAB73530	all1831
BAB73531	
BAB73532	
BAB73533	alr1834
BAB73534	all1835
BAB73535	asr1836
BAB73536	all1837
BAB73537	all1838
BAB73538	asl1839
BAB73539	asl1840
BAB73540	all1841
BAB73541	all1842
BAB73542	all1843
BAB73543	all1844
BAB73544	alr1845
BAB73545	all1846
BAB73546	all1847
BAB73547	all1848
BAB73548	all1849
BAB73549	alr1850
BAB73550	alr1851
BAB73551	alr1852
BAB73554	alr1855
BAB73555	alr1856
BAB73556	asr1857
BAB73559	alr1860
BAB73560	all1861
BAB73561	all1862
BAB73562	all1863
BAB73563	all1864
BAB73564	all1865
BAB73565	all1866
BAB73566	alr1867
BAB73567	alr1868
BAB73568	alr1869
BAB73569	alr1870
BAB73570	all1871
BAB73571	all1872
BAB73572	all1873
BAB73573	alr1874
BAB73574	all1875
BAB73575	all1876
BAB73576	alr1877
BAB73577	alr1878
BAB73578	alr1879
BAB73579	all1880
BAB73580	all1881
BAB73581	all1882
BAB73582	alr1883
BAB73583	all1884
BAB73584	alr1885
BAB73585	all1886
BAB73586	all1887
BAB73587	all1888
BAB73588	all1889
BAB73589	alr1890
BAB73590	alr1891
BAB73591	alr1892
BAB73592	all1893
BAB73593	
BAB73594	all1895
BAB73595	alr1896
BAB73596	all1897
BAB73597	asl1898
BAB73598	asr1899
