gene_id	gene_name	rep1_0	rep1_3	rep1_9	rep1_24	rep2_0	rep2_3	rep2_9	rep2_24	rep3_0	rep3_3	rep3_9	rep3_24
BAB78260	asl7176	2.478206	1.210617	4.272614	11.456427	7.266733	0	9.223269	1.01156	1.105156	0	3.122987	6.352204
BAB78261	all7177	64.341492	61.690975	60.365349	92.800949	65.6334	41.380627	67.055267	97.797394	41.390793	48.136112	100.385796	117.814049
BAB78262	all7303	62.152245	42.011276	37.00515	137.299454	54.314468	23.143669	59.949039	76.307068	32.015739	36.461136	122.886162	111.002472
BAB78263	all7179	287.513977	305.584198	174.450531	211.794159	284.280579	257.517029	231.298233	238.25856	186.99971	218.225983	330.706909	255.173096
BAB78264	asr7180	61.206699	105.587791	235.195007	98.256203	80.178673	92.802277	127.752663	147.895493	17.394962	80.134148	173.102875	160.510239
BAB78265	asl7181	192.726242	198.096588	204.676361	230.46817	149.916122	140.886307	341.116608	138.237122	83.574059	66.032799	194.238831	108.894958
BAB78266	all7182	206.786423	189.385086	146.396576	339.915375	226.627731	58.787678	338.655396	201.279785	50.179173	69.576447	201.974594	109.225243
BAB78267	all7183	771.82135	739.825867	838.700989	1465.376099	836.534485	346.715424	1338.437134	1112.387573	419.308472	442.840759	950.303894	799.390076
BAB78268	alr7184	53.090706	27.680033	24.174202	36.585873	57.361698	19.095528	34.893814	21.22817	23.860878	26.089638	49.88205	25.663143
BAB78269	all7185	489.382568	436.333008	372.116089	565.007751	458.805237	385.955597	367.1651	492.729614	335.529968	377.078339	410.964294	453.247864
BAB78270	all7186	83.089622	57.124535	57.147217	203.807144	72.615486	43.988594	81.694511	243.751923	19.141401	42.711742	66.880043	285.008942
BAB78271	all7187	100.463821	87.205147	103.663025	248.937988	97.803818	64.37574	150.481094	191.99765	31.134666	54.316563	106.717789	228.212982
BAB78272	all7188	70.476631	305.465057	127.997414	186.015121	62.79805	203.878937	171.802078	203.178894	25.867407	202.829742	126.672295	186.076355
BAB78273	alr7189	83.437035	55.160576	88.359985	196.202515	56.307297	86.197296	66.637657	154.254135	37.112854	83.159485	189.089783	376.164886
BAB78274	alr7190	80.032677	64.402855	121.591034	285.624298	70.697617	55.446732	82.315208	210.376404	45.239723	57.295692	246.646774	470.227051
BAB78275	all7191	30.596056	43.862534	69.386658	93.0028	27.597504	43.792828	40.909637	101.531487	24.564659	48.27832	122.133934	170.519135
BAB78276	alr7192	481.960907	422.976135	693.031006	702.787292	493.238007	926.314636	350.705994	592.120239	922.366028	857.394897	1049.795654	766.089111
BAB78277	all7193	10.023706	7.709727	3.61473	10.663674	17.975842	7.804087	7.961845	12.665573	6.933554	4.246944	5.23969	9.611476
BAB78278	all7194	207.770111	58.853058	137.692307	194.048065	202.111359	121.664688	75.100334	151.892059	395.357178	100.701088	326.872986	369.08429
BAB78279	all7195	184.861893	29.891668	44.111248	80.557259	163.599091	25.621264	40.219242	79.802246	159.44574	19.402653	126.031334	130.245605
BAB78280	all7196	158.086075	86.794968	94.375099	129.688965	200.625488	111.434326	86.882645	97.993584	171.997925	98.989845	177.614975	185.462708
BAB78281	all7197	1166.969604	161.348892	147.575302	271.148468	1464.325562	157.494751	178.300079	143.525375	1761.864868	178.788147	460.0979	303.824615
BAB78282	all7198	651.886658	139.293076	50.18412	144.239731	690.289734	114.638779	141.505783	83.276268	398.475769	131.374924	174.172165	93.689484
BAB78283	alr7199	71.15419	37.208801	86.970032	155.953568	62.884087	32.578503	59.349182	124.928047	66.903618	36.883083	149.705917	195.449097
BAB78284	alr7200	16.418808	6.682298	7.395739	40.430458	13.558281	3.709408	6.395854	32.090687	6.903949	3.741018	14.990355	74.275406
BAB78285	alr7201	42.33754	35.748688	29.383698	118.144218	38.406059	13.892355	62.672401	67.595673	12.205077	10.823514	15.28094	97.272545
BAB78286	alr7202	9.483083	13.468346	14.845404	33.017262	15.518009	12.254793	7.489994	29.995661	7.834248	17.242777	23.92886	55.710011
BAB78287	alr7203	127.882286	120.930962	92.772736	129.427567	113.973297	121.558495	99.407349	100.206673	133.788284	143.154099	97.203049	114.02108
BAB78288	alr7204	40.84618	24.499416	23.964588	28.767218	44.005657	11.896854	26.791088	14.013797	20.918091	12.781904	57.489296	27.460661
BAB78289	alr7205	2.485149	1.057824	1.743495	13.121675	0.577234	5.153171	2.866599	5.524294	1.551973	0	10.687905	15.85007
BAB78290	alr7206	12.53258	15.61434	16.886482	27.434013	15.535002	14.334879	15.560651	24.402033	11.248302	19.665249	25.590244	39.634357
BAB78291	alr7207	42.85902	19.320976	13.524837	19.707872	44.422516	18.358055	17.61524	15.701136	40.717613	17.001617	38.671497	32.660789
BAB78292	alr7208	35.082401	24.437359	15.142115	47.839607	37.741997	24.048105	27.163563	24.125095	25.751736	19.529934	42.993721	63.097824
BAB78293	alr7209	38.949814	51.901268	33.860886	60.849854	32.955315	39.096756	39.034306	39.631073	15.168499	36.650105	85.935661	95.074814
BAB78294	alr7210	16.875338	12.641213	23.596136	77.188042	15.430456	46.212227	12.753752	62.970936	19.86544	55.202885	156.19075	211.832947
BAB78295	alr7211	3.759379	7.406106	6.847875	79.243256	5.162961	1.630569	16.893532	39.280697	2.69658	3.50518	29.411465	151.245483
BAB78296	alr7212	12.334342	12.726585	12.479787	39.88673	10.515868	23.710838	16.812267	23.194881	6.708406	21.833723	47.784092	83.252388
BAB78297	alr7213	19.310047	16.197561	7.913684	41.307819	16.985113	10.736687	14.773962	35.000881	8.642912	10.761086	24.46254	74.459259
BAB78298	alr7214	6.736063	0.725554	0.892662	2.766905	6.007656	1.219764	3.087465	0.659212	1.26713	1.783181	0	1.857703
BAB78299	alr7215	59.654263	74.740082	118.891174	106.709045	49.515942	111.862457	73.811768	69.657623	45.164471	130.910248	246.95018	161.886749
BAB78300	alr7216	251.828201	75.938469	51.019024	92.260498	231.290421	55.075016	68.323547	62.530552	149.569199	43.266891	112.874634	108.838707
BAB78301	asl7217	249.740387	93.985092	77.653465	61.85997	208.019348	117.916977	77.434341	60.426323	174.183655	121.654076	88.83255	59.66119
BAB78302	all7218	124.634674	148.85051	74.227043	122.551903	133.819305	133.241318	142.860092	47.594261	80.451996	129.056091	85.467682	122.903893
BAB78303	alr7219	274.199799	77.782463	41.008869	62.864311	273.93335	44.66069	74.039635	49.073219	96.820282	67.153847	44.705814	71.924416
BAB78304	all7220	153.02623	24.78264	31.133183	73.974136	173.240753	22.919321	38.43409	54.040939	61.906315	23.358143	65.794655	81.339188
BAB78305	all7221	6.349148	4.968391	1.893564	9.948819	7.785553	4.331377	7.714139	2.729509	5.72314	0	4.544353	7.296159
BAB78306	all7222	21.213984	12.894431	11.353775	14.740357	19.024517	16.43129	11.636436	13.263137	52.632984	21.047712	13.167567	16.45756
BAB78307	all7223	13.417194	24.937223	26.306616	19.435045	16.185677	51.264431	15.231086	10.283808	101.549988	40.561867	66.657204	25.066584
BAB78308	alr7224	67.868622	114.515038	87.696625	81.156693	80.071388	151.669403	78.866028	52.291588	109.325462	142.320251	178.074005	164.878708
BAB78309	all7225	74.168655	76.354439	33.089378	54.639919	80.788223	27.992971	74.767502	43.509541	20.980736	34.279652	34.728249	55.770481
BAB78310	all7226	98.596001	76.09375	79.596359	122.765892	141.775452	80.20919	170.795959	79.936943	46.219296	73.687378	47.417393	117.643929
BAB78311	all7227	118.178688	62.655788	85.963364	85.177078	112.419518	128.112396	48.394035	66.062553	100.694786	134.949936	186.060303	176.91571
BAB78312	alr7228	209.021667	229.966736	278.644623	571.68335	223.474426	177.98465	348.514801	455.533112	188.866669	185.734421	435.638794	333.795532
BAB78313	all7229	4363.319336	1483.737061	395.020569	367.930023	3242.469482	1030.131104	802.514099	258.95462	2315.362305	1076.833618	496.197876	222.21991
BAB78314	asr7230	960.659424	1391.048706	3597.374756	705.772034	1020.140198	7177.095215	963.541809	271.599762	3681.848389	8453.091797	5606.960938	1248.021362
BAB78315	alr7231	229.681335	235.957642	285.762482	564.016296	251.254501	192.970688	362.488434	489.346619	195.853226	192.897873	492.029633	353.766693
BAB78316	alr7232	214.763931	137.746567	113.240944	100.361252	231.516235	97.904305	112.418404	93.226837	154.259811	118.767792	174.401718	73.411713
BAB78317	alr7233	154.379059	108.724159	130.016541	99.747284	158.737091	105.546997	96.689148	88.45771	179.249939	110.660202	134.04126	134.831955
BAB78318	all7234	45.59375	34.783562	16.961601	50.600235	48.977432	27.48501	36.612274	23.792492	31.116636	33.131916	32.082096	53.664867
BAB78319	all7235	114.664223	175.215225	100.369392	102.319725	128.028107	128.846878	138.011246	45.745483	121.861465	150.507019	174.223251	77.222778
BAB78320	all7236	20.279469	15.232292	12.478562	77.397873	20.938274	10.700631	80.605972	29.313791	26.399042	11.933084	29.417452	47.424793
BAB78321	asl7237	418.129547	124.237534	148.078583	211.050888	365.36618	174.589325	252.662537	73.576866	111.08477	181.424622	218.227234	207.688461
BAB78322	all7238	57.344242	33.035042	24.704422	57.170658	55.061378	13.200653	34.438873	38.174286	20.023279	27.220922	19.488192	46.859211
BAB78323	alr7239	108.327499	97.55603	132.147324	228.847122	115.152664	135.821671	116.950928	153.080032	55.215256	160.830032	351.124786	526.286804
BAB78324	alr7240	31.069052	84.711449	33.515781	78.206314	27.790651	57.019211	44.912476	85.466286	32.378502	36.455338	85.361717	156.049377
BAB78325	alr7241	44.335629	66.15937	47.389938	92.892014	41.857216	60.535934	62.225418	84.761909	35.592213	56.954159	96.112656	177.898392
BAB78326	alr7242	85.674652	104.339417	53.519566	86.957855	77.651161	69.040604	84.918983	66.356552	40.402504	75.870995	76.398315	118.000656
BAB78327	alr7243	63.876095	98.889603	118.561134	196.507034	57.400162	102.430862	132.102692	176.604034	58.560181	100.888634	258.156006	224.692474
BAB78328	all7244	203.228653	96.97525	54.631893	134.427261	213.191116	80.749649	130.24205	59.462425	71.191299	87.106667	130.124573	97.550972
BAB78329	all7245	2285.003418	1526.2229	727.186707	617.810303	2202.794922	975.459229	921.97876	555.582947	1320.775269	1006.653015	1217.15271	517.846069
BAB78330	asl7246	6138.126953	13139.78125	2671.606689	4173.492676	7004.539551	2236.129639	4359.988281	5612.327637	4291.841797	2325.914551	2747.935547	2948.052002
BAB78331	asr7247	110.203804	114.538139	380.601532	103.537796	107.180954	332.755737	126.713676	46.727177	165.450775	305.79184	474.552521	163.752289
BAB78332	asl7248	55.284264	34.232693	39.223732	36.974167	34.302277	28.005796	20.527481	21.818172	18.649544	66.558357	60.581791	35.478966
BAB78333	alr7249	255.657379	221.354675	133.907623	122.008179	211.880753	227.232498	109.787643	131.253357	167.58432	203.022446	147.825317	160.137375
BAB78334	alr7250	97.047592	61.57198	69.149559	302.975281	127.849983	37.461514	220.567551	194.580505	71.527168	29.194424	101.638214	328.664978
BAB78335	asl7251	31.252792	80.060097	56.711971	127.199615	21.25136	32.835373	75.095596	82.708862	9.861724	53.925213	94.055489	94.447296
BAB78336	asr7252	121.025032	149.332626	144.607849	313.241821	116.350403	202.894852	192.077087	141.068512	40.584595	213.922424	220.741516	144.439468
BAB78337	alr7253	317.533295	190.319382	296.420288	197.714218	271.486847	312.940399	202.609344	157.229416	231.787186	351.82486	576.576172	179.270615
BAB78338	alr7254	378.678986	439.920471	200.693436	428.209473	352.200653	138.739822	312.418457	407.927399	94.06179	117.393166	167.89975	263.282745
BAB78339	all7255	299.428467	208.730408	107.775215	311.525177	272.675629	140.130341	240.975983	255.038284	197.916077	118.515465	155.234451	195.690826
BAB78340	asr7256	640.311523	777.178101	1024.864746	1415.337769	590.469666	689.920593	957.926392	1084.704102	466.776825	718.625366	963.300415	780.67395
BAB78341	asr7257	101.555504	186.147537	148.13504	798.764832	108.824059	67.263924	492.281708	331.132782	25.532116	84.17292	97.569038	264.569855
BAB78342	asl7258	326.905701	317.291687	321.839386	667.131409	313.918549	300.99765	546.682739	382.940796	92.478935	322.592255	478.341827	531.706543
BAB78343	all7259	144.816238	149.988907	61.930908	169.310715	149.066849	42.762238	178.320297	144.326553	31.920107	51.242828	91.84256	147.841492
BAB78344	asr7260	48.869476	94.338303	185.58876	117.442177	45.870117	209.193634	102.508049	65.407394	130.215958	247.246765	454.211334	160.483032
BAB78345	alr7261	35.884235	106.797806	63.394615	174.02388	37.299561	83.828194	123.544685	115.542938	13.908031	70.114426	52.955753	155.865845
BAB78346	all7262	75.984581	46.100746	30.211592	51.845104	74.278114	25.955622	70.654755	31.167749	24.110537	17.085854	34.189751	66.95813
BAB78347	all7263	64.771721	51.56358	72.478302	136.707184	53.567268	103.212624	55.64249	113.112564	65.586411	152.213013	302.917236	167.533875
BAB78348	alr7264	91.526848	60.515865	45.246658	60.824741	66.576805	17.409012	69.929932	42.457325	39.139236	26.172684	38.615349	37.786274
BAB78349	all7265	438.253967	389.589447	443.528809	571.084167	478.498718	156.438675	507.301636	508.720123	191.845932	117.234329	285.99884	438.188049
BAB78350	asl7266	877.124329	1209.706055	2261.510986	1873.32605	928.721436	1101.035156	1697.794189	1252.332397	865.44043	1144.055908	2114.709961	1301.141602
BAB78351	all7267	20.206491	38.451126	61.834015	129.754669	16.618483	43.885124	44.021152	74.512238	24.592186	48.836102	159.431839	227.648911
BAB78352	alr8510	65.142982	61.984592	49.665516	118.184006	64.541069	38.16172	72.198723	91.072975	37.992062	42.475998	97.541557	119.604736
BAB78353	all7269	4.612232	4.474758	10.393326	15.579512	2.115918	11.145651	9.287577	13.661863	7.111252	8.170906	16.780386	32.969379
BAB78354	all7270	47.8955	69.238098	150.808289	55.186466	69.600342	183.266815	46.066235	56.729347	153.567032	212.447098	349.38266	155.377563
BAB78355	all7271	21.946413	14.580515	40.107697	43.653267	14.823036	21.571785	22.692114	39.681984	22.117176	19.061626	30.154568	74.362251
BAB78356	all7272	5.414577	5.868911	2.897434	12.603728	9.678514	3.313182	12.747645	21.037537	1.55413	3.877973	5.562821	31.4639
BAB78357	all7273	40.171906	85.849686	146.468872	135.646423	31.241186	64.249985	106.207146	131.76059	37.216862	37.46479	156.019363	142.926514
BAB78358		10.345533	14.357235	16.743908	49.506104	13.02245	10.794402	26.143503	57.720699	2.377305	8.029577	33.048779	104.084694
BAB78359	all7275	3.5522	5.702294	7.658678	16.057049	5.663298	6.293439	9.28325	14.260225	4.25078	12.382469	18.337917	60.984451
BAB78360	alr7276	6.300689	8.807905	3.929425	13.93382	8.081199	4.480231	8.523294	13.946139	5.293614	1.886231	12.859374	14.708368
BAB78361	all7277	22.838261	47.637966	69.654671	44.914864	26.569387	54.048573	41.107136	45.221073	31.406263	59.642529	99.118439	69.430336
BAB78362	alr7278	154.13739	107.355026	33.789654	60.003456	151.423798	39.179626	61.393005	63.474163	72.890999	38.329613	59.624847	78.425446
BAB78363	all7279	157.838913	86.360909	56.7029	110.630821	137.939575	66.924652	77.29866	74.210747	120.065041	61.430984	113.780197	160.990555
BAB78364		52.751434	51.015503	39.347641	73.28553	45.523281	44.464577	47.99194	63.349583	44.116955	42.395691	102.096169	108.819603
BAB78365	asl7281	36.54834	56.029461	48.326633	27.34252	33.954472	41.090771	33.126991	31.30176	39.742657	49.649086	80.301033	50.560501
BAB78366	asl7282	41.208855	64.091576	26.868074	41.671951	39.01339	41.765511	50.77919	27.111294	15.880843	66.727196	47.836868	24.818584
BAB78367	asl7283	27.807171	105.194519	223.671021	46.103912	17.872215	150.023209	48.158722	27.010885	104.33297	166.365295	305.979523	103.04425
BAB78368	all7284	14.931605	18.314589	9.125385	20.650112	14.388538	12.558151	12.496739	15.446045	4.425569	13.852458	5.894637	32.86356
BAB78369	all7285	16.912125	13.550535	8.408416	38.598408	16.928835	13.925962	16.262196	39.351448	8.043895	17.093575	26.935793	68.33445
BAB78370	all7286	7.321912	8.739173	7.61449	35.825684	6.636735	8.470337	10.67857	29.759012	0.862536	8.789938	16.777338	92.535553
BAB78371	all7287	17.522572	24.184265	30.210638	21.959951	19.556658	38.404461	12.899203	14.885179	18.666958	30.758091	68.675163	41.150105
BAB78372	all7288	4.835321	6.136752	4.423496	11.751499	6.241431	4.183122	4.905158	8.760183	2.357547	4.982902	7.683909	26.559456
BAB78373	asl7289	12.171204	12.51155	9.716727	58.182117	10.576719	0.000704	11.263339	59.721104	0	0	75.141296	218.452972
BAB78374	all7290	2.058011	6.021304	10.381707	46.168613	1.868475	11.532099	14.984502	42.20266	4.161257	6.889578	28.88006	145.859848
BAB78375	all7291	3.958973	15.145097	17.503496	43.323517	4.643402	25.764542	11.202707	47.494724	7.38029	38.605404	48.914413	90.864517
BAB78376	alr7292	61.112087	88.779678	50.05241	89.668282	78.479393	91.982338	77.414795	89.265526	48.933662	121.085449	74.650925	119.29734
BAB78377	asr7293	159.947739	243.317108	162.780182	130.090378	121.317055	178.966003	170.260513	72.477859	126.193787	188.295029	137.001999	95.21344
BAB78378	alr7294	274.640442	347.12973	186.772827	172.727631	268.823395	223.22731	204.416077	213.398346	178.775497	209.938065	216.666656	172.129822
